TranslationRange	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost	Rank3Rate
0.001	nan	0	-nan	-nan	-nan	nan	22610	4.33403e+06	10158.4	177.584	5.41917e+08	-nan	0
0.00108393	nan	0	-nan	-nan	-nan	nan	29788.4	9.14161e+06	13521.2	210.017	5.56396e+09	-nan	0
0.0011749	nan	0	-nan	-nan	-nan	nan	58094.4	3.42385e+07	23988.1	518.324	6.52293e+10	-nan	0
0.0012735	nan	0	-nan	-nan	-nan	nan	43826.6	2.88324e+07	18588.8	350.892	1.25023e+11	-nan	0
0.00138038	nan	0	-nan	-nan	-nan	nan	27619.8	4.30103e+06	12670.6	187.15	9.54749e+08	-nan	0
0.00149624	nan	176.555	-nan	-nan	-nan	nan	24161.8	5.54524e+06	10784.3	168.915	1.11757e+09	-nan	0
0.00162181	nan	0	-nan	-nan	-nan	nan	41241.8	1.08504e+07	18543.6	257.223	1.12298e+10	-nan	0
0.00175792	nan	0	-nan	-nan	-nan	nan	19218.4	1.48774e+06	8433.82	147.803	8.84752e+08	-nan	0
0.00190546	nan	0	-nan	-nan	-nan	nan	40809	2.1317e+07	18925.9	265.488	8.19341e+09	-nan	0
0.00206538	nan	231.345	-nan	-nan	-nan	nan	26238.7	4.03127e+06	11830.2	207.217	1.62176e+09	-nan	0
0.00223872	nan	516.605	-nan	-nan	-nan	nan	29268.6	7.71433e+06	12995.9	191.255	5.55833e+09	-nan	0
0.00242661	nan	410.31	-nan	-nan	-nan	nan	25735.3	3.89192e+06	11708.5	175.649	1.05607e+09	-nan	0
0.00263027	nan	90.2717	-nan	-nan	-nan	nan	23375.1	1.58327e+06	10294.5	195.598	8.30447e+08	-nan	0
0.00285102	nan	685.631	-nan	-nan	-nan	nan	19197.1	1.62523e+06	8548.86	151.394	5.60598e+08	-nan	0
0.0030903	nan	244.216	-nan	-nan	-nan	nan	21180.9	1.41519e+06	9712.8	129.51	3.54356e+08	-nan	0
0.00334965	nan	839.461	-nan	-nan	-nan	nan	40311.8	1.06812e+07	18669.5	222.515	2.50299e+09	-nan	0
0.00363078	nan	1066.59	-nan	-nan	-nan	nan	28755.1	3.79752e+06	12247.6	193.788	5.57633e+09	-nan	0
0.0039355	nan	340.324	-nan	-nan	-nan	nan	160113	1.71254e+08	78492.3	206.03	2.32729e+11	-nan	0
0.0042658	nan	762.662	-nan	-nan	-nan	nan	41515.3	1.34432e+07	19012.6	213.385	1.87436e+10	-nan	0
0.00462381	nan	685.417	-nan	-nan	-nan	nan	24530.4	4.10349e+06	11174.7	145.56	1.75474e+09	-nan	0
0.00501187	nan	1218.89	-nan	-nan	-nan	nan	134878	1.40422e+08	60731.1	933.161	1.50979e+12	-nan	0
0.0054325	nan	460.608	-nan	-nan	-nan	nan	18848.6	3.82591e+06	8458.19	117.407	3.3862e+09	-nan	0
0.00588844	nan	464.482	-nan	-nan	-nan	nan	10415	1.81209e+06	4851.28	67.3175	1.74623e+08	-nan	0.02
0.00638263	nan	787.62	-nan	-nan	-nan	nan	131834	7.55092e+07	63701.8	437.421	2.78619e+11	-nan	0
0.00691831	nan	933.239	-nan	-nan	-nan	nan	4290.87	327158	1909.58	42.7864	4.3849e+07	-nan	0
0.00749894	nan	498.851	-nan	-nan	-nan	nan	7526.32	4.55225e+06	3569.43	45.9327	7.99577e+07	-nan	0.02
0.00812831	nan	649.612	-nan	-nan	-nan	nan	3011.96	567193	1432.68	23.7015	1.90203e+07	-nan	0
0.00881049	nan	944.774	-nan	-nan	-nan	nan	4031.56	1.14249e+06	1923.62	34.296	1.45275e+07	-nan	0
0.00954993	nan	420.478	-nan	-nan	-nan	nan	653.619	57344.9	302.566	13.5107	961379	-nan	0
0.0103514	nan	1981.32	-nan	-nan	-nan	nan	463.162	183277	198.976	9.75453	6.34858e+06	-nan	0.02
0.0112202	nan	424.467	-nan	-nan	-nan	nan	3211.74	3.23158e+06	1283.5	30.2278	1.72369e+09	-nan	0.04
0.0121619	nan	803.781	-nan	-nan	-nan	nan	874.191	272006	414.586	8.84424	2.39747e+06	-nan	0.04
0.0131826	104.708	903.21	32.9947	27.7807	891.494	2.82287e-16	18.1803	160.212	5.76373	5.77742	13.7801	1.06942	0.04
0.0142889	105.027	570.364	32.6765	27.4308	884.362	2.82049e-16	14.3174	69.7993	4.57399	4.51841	6.88269	1.10496	0.04
0.0154882	107.807	2030.32	33.9739	28.0485	945.162	2.80607e-16	11.1591	30.4029	3.51213	3.5708	2.95436	1.10674	0.1
0.016788	108.366	1127.23	34.3829	27.7742	798.73	2.77598e-16	9.44121	35.9595	2.93835	3.01494	2.70354	1.13344	0.14
0.018197	111.227	999.617	34.6834	28.9969	930.524	2.8046e-16	8.79497	25.7593	2.73236	2.83532	2.255	1.13422	0.12
0.0197242	112.133	617.23	35.2594	28.8148	897.752	2.78901e-16	7.15742	27.4699	2.2768	2.25482	1.50158	1.14086	0.16
0.0213796	114.241	567.302	35.9046	28.9532	966.544	2.81981e-16	5.69506	22.8187	1.75895	1.85529	1.00887	1.14461	0.34
0.0231739	118.277	1353.21	37.1497	29.99	1200.49	2.80064e-16	4.89601	17.5968	1.49388	1.59215	0.784338	1.16559	0.38
0.0251189	112.46	703.084	35.1454	28.7637	946.385	2.79228e-16	4.6194	24.4047	1.43188	1.46856	0.827914	1.14737	0.46
0.027227	117.511	1126.43	36.5174	29.9872	1044.67	2.82717e-16	3.33584	10.9116	1.04463	1.06651	0.340283	1.17146	0.48
0.0295121	112.62	654.067	34.4002	28.8401	1014.65	2.80768e-16	3.36651	20.6031	1.03811	1.09306	0.573604	1.15242	0.58
0.031989	119.715	1664.34	37.7347	30.3834	1052.48	2.78736e-16	2.2527	11.5586	0.694211	0.726559	0.173999	1.15492	0.68
0.0346737	118.096	438.282	36.4813	29.8383	1100.14	2.7448e-16	2.16378	7.78713	0.660081	0.706802	0.144713	1.16279	0.74
0.0375837	113.27	966.023	35.203	28.5567	1000.25	2.80663e-16	1.77295	7.86196	0.5472	0.57324	0.12034	1.16437	0.54
0.040738	110.846	541.143	34.9897	27.8171	936.351	2.81597e-16	1.65413	12.3897	0.511549	0.542935	0.107287	1.11585	0.64
0.044157	114.055	769.66	35.1572	28.6799	1104.42	2.83215e-16	1.3106	5.7506	0.406782	0.424359	0.0584583	1.1329	0.64
0.047863	100.645	633.637	30.7488	25.9911	832.071	2.7639e-16	1.0687	5.46813	0.338694	0.341102	0.0357009	1.07074	0.54
0.05188	94.6104	945.213	28.8445	24.5764	736.227	2.82045e-16	0.709675	2.94138	0.221128	0.229644	0.0152149	1.024	0.46
0.0562341	95.0694	627.326	29.1058	24.7871	774.82	2.81235e-16	0.809251	7.09458	0.243941	0.26684	0.0383744	0.995151	0.42
0.0609537	93.2221	911.001	28.888	23.8432	697.552	2.81475e-16	0.64961	4.0761	0.19968	0.209644	0.0217288	1.01922	0.5
0.0660693	77.0877	630.54	23.1005	20.503	662.278	2.82212e-16	0.429567	2.22504	0.131217	0.141132	0.0063512	0.842195	0.44
0.0716143	69.2659	384.03	20.8398	18.2819	459.943	2.8687e-16	0.292003	1.47948	0.0910255	0.0949355	0.00272504	0.808214	0.32
0.0776247	85.6883	1172.27	25.6059	23.3781	709.579	2.86849e-16	0.301877	1.54094	0.0920796	0.0981873	0.00353501	0.894697	0.46
0.0841395	62.2493	446.919	18.8199	16.8325	374.717	2.85614e-16	0.214397	0.828048	0.0650737	0.070081	0.00157263	0.735266	0.44
0.0912011	46.9852	675.675	14.1827	12.7611	283.477	2.79602e-16	0.19314	2.79872	0.0590279	0.0629265	0.00233767	0.582291	0.34
0.0988553	39.1937	317.395	11.5808	10.8824	237.545	2.81789e-16	0.15622	0.746873	0.0480849	0.0512832	0.000792808	0.473597	0.3
0.107152	33.6026	338.398	10.0273	9.35333	133.069	2.82154e-16	0.146045	0.939968	0.0448088	0.0476337	0.000820604	0.455366	0.44
0.116145	28.0642	417.092	8.39423	7.66363	136.003	2.79879e-16	0.123185	0.712344	0.0372121	0.0405984	0.000666755	0.365813	0.4
0.125893	17.3026	588.215	5.15921	4.73958	115.522	2.85214e-16	0.0896532	0.406032	0.0275745	0.0294737	0.000265942	0.233151	0.52
0.136458	20.6662	183.622	6.41947	5.45045	72.6499	2.80164e-16	0.0686495	0.415283	0.0209506	0.0224596	0.000180771	0.286453	0.48
0.147911	21.8785	612.033	6.37677	6.18406	160.173	2.84006e-16	0.0563769	0.219941	0.0173618	0.0185534	0.00010627	0.26331	0.72
0.160325	14.9229	218.885	4.74207	3.76704	61.5246	2.82791e-16	0.0535063	0.320272	0.0165087	0.0174906	0.000108669	0.206249	0.66
0.17378	13.0081	109.415	3.83018	3.77173	33.9383	2.79636e-16	0.0459475	0.248454	0.0141372	0.0151383	6.7892e-05	0.191402	0.8
0.188365	11.4345	316.84	3.37358	3.17174	69.4948	2.7996e-16	0.0381734	0.250762	0.0118412	0.0124719	5.09823e-05	0.152854	0.78
0.204174	1.68461	8.81013	0.490633	0.489687	0.468855	2.83664e-16	0.0371057	0.160888	0.0113061	0.0121756	5.16093e-05	0.0295858	0.72
0.221309	1.81468	9.95284	0.534765	0.509972	0.769179	2.80613e-16	0.0264198	0.160971	0.00797675	0.00876003	2.66876e-05	0.0314314	0.86
0.239883	2.43838	71.6846	0.739465	0.6515	6.15877	2.83874e-16	0.0179514	0.0882928	0.00547875	0.00588385	1.10663e-05	0.0380899	0.98
0.260016	4.93603	246.908	1.5546	1.26572	30.6637	2.80295e-16	0.0201349	0.104613	0.00626735	0.0064587	1.46287e-05	0.0613865	0.9
0.281838	1.80814	33.5875	0.559529	0.494912	1.80573	2.80253e-16	0.0147105	0.0731105	0.00449283	0.00480037	8.49434e-06	0.0304649	0.88
0.305492	0.475992	3.9828	0.138409	0.135839	0.064266	2.82743e-16	0.0129475	0.0726001	0.00396141	0.00425772	5.83902e-06	0.00840503	0.98
0.331131	0.935207	10.5185	0.273728	0.269095	0.428221	2.80985e-16	0.0128756	0.0729907	0.0039916	0.00416025	5.9769e-06	0.0157515	0.92
0.358922	0.127013	1.0494	0.0366891	0.0367336	0.00371452	2.85357e-16	0.0084139	0.0326751	0.0025371	0.00275415	2.78107e-06	0.00222321	1
0.389045	0.341014	6.80108	0.100265	0.101955	0.106261	2.90661e-16	0.00782955	0.0488689	0.00244091	0.00250167	2.29687e-06	0.00586746	0.98
0.421697	0.0879206	0.802667	0.025307	0.0262246	0.00235901	2.86487e-16	0.00674316	0.0345753	0.00212364	0.00214492	1.45683e-06	0.00151487	1
0.457088	0.0926969	0.966613	0.0263931	0.0280602	0.00431452	2.84465e-16	0.0051501	0.0257292	0.00156531	0.00166796	9.04525e-07	0.00162057	0.96
0.49545	0.0487649	0.320935	0.013888	0.014525	0.000598895	2.8323e-16	0.00507367	0.0218113	0.00156208	0.00161828	9.51806e-07	0.000840313	0.98
0.537032	0.0293316	0.257025	0.00825629	0.00861121	0.000292022	2.82181e-16	0.00503892	0.0199582	0.00158917	0.00157985	7.94848e-07	0.00048439	0.98
0.582103	0.0476585	0.494213	0.0134553	0.0138088	0.00128255	2.81582e-16	0.00454459	0.0199536	0.00142149	0.00144564	6.2186e-07	0.00082995	0.98
0.630957	0.0422215	0.561598	0.0120438	0.0126933	0.000902226	2.87906e-16	0.00433659	0.0181019	0.00134839	0.00137274	5.47184e-07	0.000723533	0.96
0.683912	0.105929	2.67081	0.0343535	0.0293528	0.0158836	2.86663e-16	0.00405661	0.00894571	0.00128683	0.00126772	4.32715e-07	0.00186281	0.94
0.74131	0.0274464	0.30196	0.0083926	0.00773469	0.000274803	2.8358e-16	0.00400187	0.00876576	0.00127598	0.00123661	4.05649e-07	0.000463826	0.94
0.803526	0.0112306	0.104679	0.00331755	0.00329035	2.75279e-05	2.84658e-16	0.00393258	0.0110081	0.00126758	0.00120726	3.91855e-07	0.000173468	0.98
0.870964	0.020087	0.184572	0.00601425	0.00572725	0.000103327	2.81484e-16	0.00443989	0.00938847	0.00145271	0.00136894	4.44108e-07	0.000345062	0.96
0.944061	0.0614199	0.891829	0.0173253	0.017326	0.00363244	2.82836e-16	0.00439223	0.0155925	0.00144222	0.00134853	4.26193e-07	0.00106684	0.94
