TranslationRange	FocalLength	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost	Rank3Rate
0.001	32	nan	66.2987	-nan	-nan	-nan	nan	12434.2	175877	12309.5	199.764	4.80455e+06	-nan	0
0.001	44	nan	61.7288	-nan	-nan	-nan	nan	17141.4	223152	16761	378.747	1.58516e+07	-nan	0
0.00108393	23	nan	36.8258	-nan	-nan	-nan	nan	1331.21	4202.83	1254.02	32.0727	418053	-nan	0
0.00108393	29	nan	60.4084	-nan	-nan	-nan	nan	6485.85	65762.2	5913.77	75.3394	2.35605e+07	-nan	0
0.00108393	32	nan	37.1408	-nan	-nan	-nan	nan	30317.9	334000	24818.1	500.162	3.0304e+09	-nan	0
0.0011749	31	nan	18.8105	-nan	-nan	-nan	nan	3084.68	11115.3	2882.26	45.3686	2.58838e+06	-nan	0
0.0011749	32	nan	43.7829	-nan	-nan	-nan	nan	4245.34	41678.7	4134.65	101.402	1.14514e+06	-nan	0
0.0011749	38	nan	48.4879	-nan	-nan	-nan	nan	4987.38	53494.2	4891.45	73.3962	1.06505e+06	-nan	0
0.0012735	24	nan	18.5707	-nan	-nan	-nan	nan	2602.77	20830.5	2518.6	47.7835	1.368e+06	-nan	0
0.0012735	33	nan	45.0182	-nan	-nan	-nan	nan	6949.93	78825	6751.72	89.2264	1.80397e+07	-nan	0
0.00138038	23	nan	111.704	-nan	-nan	-nan	nan	17909.7	229768	15347.5	199.76	8.69538e+08	-nan	0
0.00149624	28	nan	85.8735	-nan	-nan	-nan	nan	10550.9	107293	10270.9	110.367	2.35181e+07	-nan	0
0.00175792	28	nan	290.283	-nan	-nan	-nan	nan	4583.72	23418.8	4317.85	66.9903	3.7025e+06	-nan	0
0.00190546	24	nan	56.6817	-nan	-nan	-nan	nan	2797.4	14446.1	2454.73	51.5316	7.06481e+06	-nan	0
0.00242661	20	nan	136.611	-nan	-nan	-nan	nan	3290.49	24792.2	3070.32	54.4299	3.491e+06	-nan	0
0.00242661	30	nan	254.846	-nan	-nan	-nan	nan	3070.26	15605.4	2621.98	44.6805	5.07753e+06	-nan	0
0.00263027	19	nan	50.5181	-nan	-nan	-nan	nan	943.902	3292.19	831.296	21.5813	233889	-nan	0
0.00285102	31	nan	102.247	-nan	-nan	-nan	nan	11063.5	145939	10913	178.856	3.68705e+06	-nan	0
0.0030903	24	nan	45.8167	-nan	-nan	-nan	nan	1947.88	5856.91	1849.27	35.8897	663283	-nan	0
0.0030903	28	nan	406.019	-nan	-nan	-nan	nan	3526.08	17292.6	3357.56	67.3037	1.84987e+06	-nan	0
0.00334965	30	nan	76.1172	-nan	-nan	-nan	nan	13878.4	112313	13214.5	119.926	7.77582e+07	-nan	0
0.0042658	34	nan	62.4893	-nan	-nan	-nan	nan	2460.13	9236.58	2226.64	35.9287	2.29556e+06	-nan	0
0.00462381	32	nan	117.72	-nan	-nan	-nan	nan	12290.8	159921	11957.9	163.785	6.56985e+06	-nan	0
0.00462381	35	nan	169.486	-nan	-nan	-nan	nan	314599	5.23555e+06	281457	910.489	3.25326e+11	-nan	0
0.00501187	27	nan	71.0899	-nan	-nan	-nan	nan	1260.19	4489.62	1120.02	33.9323	547127	-nan	0
0.0054325	34	nan	50.066	-nan	-nan	-nan	nan	3102.45	15434.5	2916.05	51.1704	1.5442e+06	-nan	0
0.00588844	30	nan	56.8489	-nan	-nan	-nan	nan	12493.2	162192	12196.5	180.481	5.13897e+07	-nan	0
0.00638263	30	nan	170.218	-nan	-nan	-nan	nan	3310.08	17562.9	2752.77	69.7711	1.18739e+07	-nan	0
0.00638263	32	nan	51.8546	-nan	-nan	-nan	nan	2787.94	17185.5	2633.01	60.3946	670151	-nan	0
