FocalLength	QRloss	IACloss
10	3.77366e-08	2.54821e-07
11	7.33897e-09	3.38257e-08
12	1.25244e-09	7.54871e-09
13	1.21075e-07	1.8956e-07
14	3.30562e-07	3.69196e-06
15	8.88614e-08	9.76279e-08
16	6.77107e-07	1.79539e-06
17	3.34389e-07	4.66838e-07
18	1.11974e-08	2.15107e-07
19	1.94259e-08	1.2881e-07
20	1.05678e-07	2.13891e-07
21	8.41132e-07	7.99344e-07
22	2.13788e-09	1.59191e-08
23	9.81177e-09	5.62285e-08
24	6.10644e-08	1.37329e-07
25	5.42429e-09	2.10423e-08
26	5.61605e-08	8.43038e-08
27	4.54332e-08	2.14336e-07
28	5.41326e-08	1.0709e-07
29	5.5096e-09	2.46105e-08
30	7.48917e-09	2.35297e-08
31	2.51502e-08	8.40045e-08
32	5.2378e-09	4.42314e-08
33	1.00121e-06	8.72569e-06
34	5.24748e-09	4.5138e-08
35	6.16308e-08	4.21177e-07
36	1.3483e-08	4.84e-08
37	1.87732e-09	9.21006e-09
38	1.60659e-08	3.39677e-08
39	1.4332e-06	4.94695e-06
40	1.23292e-08	4.51816e-08
41	1.66127e-08	1.27166e-07
42	3.67231e-07	1.54413e-06
43	1.40036e-08	5.24027e-08
44	1.87843e-08	1.20538e-07
45	1.10597e-08	5.00319e-08
46	3.21806e-08	7.27852e-08
47	1.5421e-08	5.95906e-08
48	8.81978e-08	1.83769e-07
49	1.30854e-07	3.12271e-07
50	6.49779e-08	1.743e-07
51	3.0314e-07	1.91261e-06
52	8.70861e-06	5.08916e-05
53	1.05687e-08	4.27459e-08
54	3.7703e-07	1.4799e-06
55	2.48815e-08	9.62367e-08
56	2.73558e-09	1.2666e-08
57	3.29656e-08	1.77114e-07
58	8.62177e-09	5.70092e-08
59	1.40657e-07	5.70539e-07
60	3.94243e-08	3.02417e-07
61	4.20172e-08	1.63748e-07
62	1.59425e-08	5.9809e-08
63	2.65398e-08	9.53262e-08
64	9.99816e-06	4.48798e-05
65	4.70285e-08	3.97532e-07
66	1.45127e-07	8.99112e-07
67	7.48967e-09	4.31728e-08
68	1.92832e-08	4.69697e-08
69	3.29425e-07	4.54143e-07
70	6.75412e-08	4.67336e-07
71	3.76138e-07	5.97132e-06
72	2.28647e-08	9.85917e-08
73	1.18697e-08	4.62991e-08
74	2.64343e-08	1.52524e-07
75	6.71468e-08	2.99104e-07
76	7.04824e-09	2.89943e-08
77	3.95514e-07	2.03638e-06
78	1.3156e-07	3.37056e-07
79	1.33973e-08	1.88729e-07
80	4.37535e-07	8.57655e-07
81	5.29263e-08	2.75371e-07
82	1.80705e-08	7.63256e-08
83	5.11606e-08	5.76524e-07
84	1.79871e-08	1.34479e-07
85	2.83653e-07	1.49276e-06
86	3.07037e-08	1.11063e-07
87	4.87963e-08	2.58347e-07
88	2.84503e-07	1.48425e-06
89	5.64226e-08	5.08393e-07
90	1.69701e-08	4.63862e-08
91	3.31121e-08	1.1853e-07
92	1.25447e-08	4.5483e-08
93	2.6778e-06	2.9195e-06
94	1.39181e-07	6.85537e-07
95	1.36791e-06	4.94066e-06
96	2.06444e-05	3.74211e-05
97	4.35789e-08	2.50904e-07
98	1.85136e-08	5.82529e-08
99	9.45779e-09	5.99391e-08
100	1.3336e-07	7.00046e-07
101	2.62247e-07	8.88286e-07
102	7.03803e-08	1.7915e-07
103	0.000535462	0.00432338
104	7.32531e-08	6.70766e-07
105	4.63633e-08	2.84474e-07
106	1.23767e-08	9.77438e-08
107	1.58663e-06	6.57918e-06
108	2.12285e-08	7.44266e-08
109	4.33156e-08	9.32833e-08
110	1.79618e-06	6.32634e-06
111	5.09843e-06	5.42053e-06
112	2.82306e-08	9.2281e-08
113	1.60882e-08	2.8519e-08
114	1.30906e-08	9.92471e-08
115	1.88271e-08	1.12769e-07
116	8.79286e-09	3.87022e-08
117	7.02858e-09	4.25565e-08
118	1.5139e-07	4.11572e-07
119	1.90263e-08	1.46651e-07
120	2.82568e-07	1.48038e-06
121	1.57197e-08	1.07824e-07
122	4.38266e-08	1.27414e-07
123	2.52115e-07	3.50832e-07
124	1.255e-07	1.73183e-07
125	7.02203e-08	4.53542e-07
126	1.65791e-07	2.78473e-07
127	8.25775e-09	3.60787e-08
128	1.4018e-07	7.72503e-07
129	4.87571e-07	5.98454e-07
130	1.3167e-06	2.45529e-06
131	8.75525e-08	3.69243e-07
132	6.80047e-09	5.65638e-08
133	9.19583e-06	7.32273e-05
134	2.30111e-06	2.53562e-06
135	1.34557e-06	1.97542e-06
136	5.16497e-07	6.08155e-07
137	6.27143e-06	5.56417e-05
138	1.20467e-08	4.27636e-08
139	1.67865e-07	1.09553e-06
140	4.09903e-08	2.18544e-07
141	1.08749e-08	6.11559e-08
142	2.80879e-06	2.85836e-06
143	1.25593e-07	6.41178e-07
144	2.44388e-08	2.38604e-07
145	0.00152499	0.00273309
146	4.71732e-08	1.53784e-07
147	4.22988e-08	1.1514e-07
148	1.40819e-06	3.38287e-05
149	2.5817e-09	9.46617e-09
150	1.11475e-08	4.96198e-08
151	5.01855e-08	1.66372e-07
152	4.66805e-08	2.02164e-07
153	2.36163e-06	3.38069e-06
154	1.76941e-07	8.34809e-07
155	3.67719e-07	1.08559e-06
156	4.23314e-07	1.03574e-06
157	4.98651e-08	3.45174e-07
158	5.19589e-07	2.96796e-06
159	1.28914e-05	1.51918e-05
160	0.000435504	0.00150941
161	1.07538e-05	2.14152e-05
162	8.57826e-08	5.4559e-07
163	6.58034e-08	3.99431e-07
164	7.53052e-08	2.41524e-07
165	2.31269e-08	1.17925e-07
166	2.11162e-06	2.38949e-06
167	1.00957e-08	5.04464e-08
168	8.01744e-08	5.18824e-07
169	2.23391e-07	6.03498e-07
170	2.47014e-08	9.71498e-08
171	0.000221712	0.000914626
172	8.51857e-07	2.90866e-06
173	2.32689e-08	2.98878e-07
174	9.78814e-08	2.95871e-07
175	0.000594002	0.00230869
176	7.15074e-07	1.6255e-06
177	1.03185e-07	3.51048e-07
178	1.28363e-06	4.08361e-06
179	2.33936e-08	1.6108e-07
180	5.11216e-08	4.72549e-07
181	7.39539e-07	2.70605e-06
182	4.60327e-08	1.54575e-07
183	8.25324e-08	1.41603e-07
184	2.87609e-05	6.16626e-05
185	1.45211e-08	1.29413e-07
186	6.54946e-08	3.86133e-07
187	2.91867e-08	1.12593e-07
188	8.49756e-08	4.63381e-07
189	4.58575e-06	3.09481e-05
190	7.25234e-08	3.1204e-07
191	2.20212e-05	2.12393e-05
192	3.4352e-07	2.48475e-06
193	1.02184e-07	2.45219e-07
194	1.0553e-07	4.81667e-07
195	3.1684e-06	2.7701e-06
196	2.58007e-07	5.45052e-07
197	1.49853e-07	7.07365e-07
198	6.45114e-08	1.80607e-07
199	4.3863e-08	1.8302e-07
200	1.57029e-07	3.91222e-07
201	5.92116e-07	3.78704e-06
202	1.39579e-08	4.90036e-08
203	1.48189e-05	1.83136e-05
204	3.20946e-08	1.56179e-07
205	1.86913e-06	2.81345e-06
206	5.73961e-07	1.38027e-06
207	1.2783e-06	1.42388e-06
208	1.46441e-06	5.00976e-06
209	6.44631e-08	6.31879e-07
210	1.02787e-07	2.52261e-07
211	0.000194589	0.00054528
212	1.70294e-06	6.54335e-06
213	3.931e-06	6.46818e-06
214	6.36087e-06	6.55904e-06
215	6.90247e-07	1.24743e-06
216	1.0302e-07	4.02367e-07
217	0.000369784	0.0019516
218	4.58185e-06	2.73889e-05
219	1.81986e-08	1.11145e-07
220	2.30769e-08	8.19256e-08
221	3.61982e-06	4.24427e-06
222	2.09302e-07	4.53814e-07
223	1.24166e-06	1.49864e-05
224	6.98945e-08	7.78532e-07
225	7.39671e-07	3.0529e-06
226	9.74953e-08	7.75595e-07
227	2.13343e-08	9.83966e-08
228	3.23552e-08	1.51937e-07
229	8.19828e-06	5.89622e-05
230	1.33714e-08	6.49542e-08
231	1.57847e-05	7.20535e-05
232	3.25442e-08	1.25932e-07
233	3.48611e-08	2.55157e-07
234	1.31632e-07	3.5583e-07
235	2.08114e-08	1.20304e-07
236	3.05578e-07	7.54955e-07
237	1.45842e-05	1.58608e-05
238	3.24043e-06	2.38649e-05
239	1.48185e-07	5.73496e-07
240	5.50656e-06	6.30227e-06
241	3.93431e-05	0.000156366
242	5.30928e-08	4.71734e-07
243	3.13324e-07	6.47937e-07
244	9.23284e-07	5.18264e-06
245	3.52319e-08	2.3533e-07
246	3.18588e-07	7.27339e-07
247	6.73812e-08	3.77685e-07
248	4.99955e-05	8.08836e-05
249	3.50312e-08	2.28401e-07
250	1.08767e-06	4.31623e-06
251	1.06825e-06	2.18145e-06
252	3.14311e-08	1.45648e-07
253	8.96822e-07	9.21421e-07
254	3.21351e-08	2.17762e-07
255	4.79266e-05	8.41452e-05
256	2.14072e-07	1.30087e-06
257	1.43259e-07	6.37277e-07
258	5.51562e-07	1.56404e-06
259	1.74159e-07	2.13829e-07
260	2.25309e-07	1.69762e-06
261	5.10641e-07	2.19455e-06
262	2.91457e-07	4.68244e-07
263	8.12122e-06	8.45834e-06
264	9.86092e-05	0.000173979
265	2.19308e-05	0.000126491
266	3.46797e-08	3.44969e-07
267	1.94975e-07	8.01671e-07
268	2.11208e-08	1.62417e-07
269	1.18325e-06	5.985e-06
270	1.02062e-07	4.85607e-07
271	4.4113e-06	4.91572e-06
272	1.15301e-07	3.85116e-07
273	0.000202045	0.00187139
274	4.59331e-07	1.75866e-06
275	1.35061e-07	1.45282e-06
276	0.000136714	0.000588823
277	2.03435e-05	2.07221e-05
278	2.56716e-06	7.7372e-06
279	1.339e-05	1.59491e-05
280	1.05063e-06	3.63381e-06
281	1.13149e-07	5.23937e-07
282	2.63852e-07	8.14208e-07
283	1.91833e-07	4.41557e-07
284	1.26107e-07	4.59125e-07
285	3.76516e-06	4.53868e-05
286	2.17477e-07	1.06366e-06
287	2.45361e-07	2.5125e-06
288	1.91112e-05	2.46659e-05
289	5.2536e-06	3.91316e-05
290	2.9526e-05	6.03677e-05
291	8.23497e-08	4.23687e-07
292	8.40353e-07	3.738e-06
293	1.04672e-05	1.11138e-05
294	3.7022e-07	1.09721e-06
295	4.12741e-06	1.0803e-05
296	1.85087e-07	6.73548e-07
