FocalLength	QRloss	IACloss
10	0.351608	0.340047
11	0.717534	0.391768
12	0.311421	0.305819
13	1.49039	0.296147
14	1.62826	0.373796
15	0.34752	0.29009
16	1.0244	0.23952
17	0.485981	0.24465
18	0.289422	0.247393
19	0.565256	0.210783
20	0.28469	0.122441
21	2.71816	0.171171
22	0.2135	0.151237
23	0.234345	0.158202
24	0.252637	0.126739
25	0.145257	0.140259
26	0.101228	0.162236
27	0.0719801	0.0805251
28	0.233514	0.136636
29	0.220571	0.10382
30	0.201658	0.105049
31	0.871592	0.0831045
32	0.663453	0.129503
33	0.141184	0.102702
34	0.188079	0.123245
35	0.12062	0.113622
36	0.069295	0.0565144
37	0.0881884	0.0621465
38	0.206209	0.067655
39	0.18816	0.0657873
40	0.130789	0.117294
41	0.102042	0.0643097
42	0.0567385	0.0569669
43	0.0670773	0.0510597
44	0.0606364	0.0421196
45	0.247337	0.0659968
46	0.0690712	0.0437533
47	0.0809194	0.0403451
48	0.165188	0.0435347
49	1.2547	0.0487934
50	0.0470419	0.0327536
51	0.0924155	0.0502715
52	0.0510025	0.0329883
53	0.0416302	0.0237402
54	0.0547018	0.0500776
55	0.070331	0.0363996
56	0.0599826	0.025974
57	0.116934	0.0373551
58	0.0613094	0.0345229
59	0.0900215	0.0405561
60	0.0606156	0.0493186
61	0.145049	0.0345288
62	0.0360864	0.0208284
63	0.0300255	0.0225533
64	0.300557	0.0231981
65	0.038735	0.0337345
66	0.0462018	0.0166246
67	0.0599109	0.0323075
68	0.119254	0.0275095
69	0.044141	0.0192341
70	0.0403434	0.035983
71	0.0919978	0.029731
72	0.0374345	0.0194396
73	0.0403187	0.0293054
74	0.284944	0.0162858
75	20.786	0.0348717
76	0.175301	0.0223355
77	0.023877	0.0193788
78	5.17178	0.02218
79	0.0259646	0.0225501
80	0.0681757	0.0155836
81	0.170094	0.0192422
82	0.0357077	0.0232639
83	5.41959	0.0165994
84	0.0624625	0.0159087
85	0.0440368	0.0195777
86	0.0469893	0.0109718
87	0.0190913	0.013051
88	0.0301953	0.0208681
89	0.0662648	0.0192548
90	0.169003	0.0222253
91	0.0217492	0.0155291
92	0.108059	0.0196084
93	0.144162	0.0226005
94	0.0132309	0.0101578
95	0.0428484	0.0176732
96	0.0915502	0.0153701
97	0.17022	0.0142089
98	0.0163593	0.0146872
99	0.0432381	0.021667
100	0.0222938	0.0118139
101	0.0278354	0.0128402
102	0.0255513	0.0130058
103	0.023297	0.0148579
104	0.0225605	0.0141096
105	0.0235008	0.0104622
106	0.0100721	0.0122059
107	0.0347081	0.00777722
108	0.0264744	0.0109943
109	0.0190843	0.00850664
110	0.0219944	0.00833307
111	0.145152	0.0149476
112	0.173741	0.0116318
113	0.0135197	0.010333
114	0.0119005	0.0108546
115	0.0238184	0.00768963
116	0.0113191	0.00830466
117	0.00989907	0.008641
118	0.0124932	0.00780465
119	0.0429845	0.00901697
120	0.0473172	0.00693577
121	0.0118794	0.00745805
122	0.0672442	0.0105222
123	0.156975	0.00995407
124	0.0610342	0.0102278
125	0.0316833	0.00837408
126	0.089309	0.00754128
127	0.0128878	0.00672377
128	0.0159691	0.00784411
129	0.0432875	0.0105362
130	0.0259397	0.00480028
131	0.00607862	0.00683922
132	0.0797999	0.00817938
133	0.0159234	0.0107892
134	0.0311171	0.00547907
135	0.312312	0.00627087
136	0.0167849	0.0104864
137	0.0170148	0.00748351
138	0.00686559	0.00725347
139	0.0161036	0.0083585
140	0.00774371	0.00646633
141	0.0175547	0.00673525
142	0.00568108	0.00697757
143	0.00576339	0.0048533
144	0.0229299	0.00804016
145	0.0350504	0.00728135
146	0.0523618	0.00884867
147	0.00621379	0.00609425
148	0.00701126	0.00419467
149	0.0163369	0.0112032
150	0.014759	0.00864813
151	0.425027	0.00968409
152	0.1031	0.00574142
153	0.00889159	0.00706008
154	0.0176144	0.00672006
155	0.0163734	0.00600567
156	0.0186349	0.00601581
157	0.00519194	0.00571962
158	0.0188315	0.0110181
159	0.00566468	0.00515548
160	0.00437931	0.00504932
161	0.00604172	0.00488109
162	0.0101537	0.00735249
163	0.0107656	0.00354775
164	0.012368	0.00474242
165	0.00990353	0.00634563
166	0.00671374	0.00666479
167	0.00441901	0.00401976
168	0.745396	0.00581841
169	0.0344209	0.00530626
170	0.109581	0.00638063
171	0.00647389	0.00615553
172	0.0156842	0.00570901
