FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost	Rank3Rate
10	0.213757	0.147828	0.115245	0.00588848	2.83761e-16	0.204342	0.149367	0.107614	0.00308285	0.0123976	0.98
11	0.226664	0.154831	0.123378	0.0112643	2.79072e-16	0.203851	0.152367	0.105509	0.00228665	0.0138108	0.92
12	0.178398	0.127921	0.0935328	0.00383868	2.8298e-16	0.171771	0.130615	0.0872449	0.00143013	0.00983629	0.96
13	0.146008	0.102499	0.0764649	0.00309875	2.71898e-16	0.138603	0.104086	0.0724154	0.000941758	0.00687797	1
14	0.125521	0.0867802	0.068761	0.00185061	2.76558e-16	0.122748	0.0901435	0.0668632	0.00056826	0.00564452	1
15	0.113294	0.0798907	0.0618949	0.00117187	2.76879e-16	0.113387	0.084417	0.0621704	0.000410018	0.0044486	1
16	0.0971275	0.0685882	0.0524536	0.000986563	2.78144e-16	0.0953254	0.0709771	0.0507256	0.000321438	0.00374119	0.96
17	0.0898564	0.0637779	0.0489339	0.000869157	2.83561e-16	0.0872028	0.0642878	0.0488547	0.000225965	0.0031711	0.96
18	0.0732075	0.0484943	0.0421899	0.000789175	2.82458e-16	0.0689582	0.0492482	0.0405852	0.000159107	0.00266623	1
19	0.069501	0.0477441	0.0386654	0.000639141	2.86436e-16	0.067354	0.0485357	0.0386941	0.000129561	0.00241531	1
20	0.0640115	0.0444726	0.0352741	0.000488462	2.81221e-16	0.0608975	0.0446406	0.0346929	9.26509e-05	0.00205388	0.94
21	0.0613591	0.0424967	0.0348337	0.000432078	2.88583e-16	0.0583918	0.0430103	0.0331175	7.66504e-05	0.00188437	1
22	0.0494981	0.0335931	0.0281959	0.000279098	2.89781e-16	0.0478603	0.0343166	0.0283081	5.58469e-05	0.00144524	0.98
23	0.0470146	0.0314848	0.0270322	0.000317353	2.80274e-16	0.0447017	0.0323273	0.0258183	4.73989e-05	0.00144071	0.98
24	0.0459101	0.0314769	0.0258194	0.000299071	2.84502e-16	0.0428393	0.0323172	0.0235546	4.03046e-05	0.00136701	0.98
25	0.0456927	0.0307856	0.0264458	0.000307265	2.90973e-16	0.0434963	0.0318635	0.0249157	2.93742e-05	0.00125345	0.98
26	0.0392502	0.027457	0.0219329	0.000192962	2.70483e-16	0.0370331	0.0274371	0.0208977	2.08329e-05	0.000936924	0.96
27	0.0322072	0.0224159	0.0181028	0.000112756	2.80223e-16	0.0323464	0.0238858	0.0183034	1.70914e-05	0.000769582	0.88
28	0.0298737	0.0204956	0.0169443	0.000102372	2.78859e-16	0.029402	0.0210439	0.0175672	1.30136e-05	0.000703806	0.98
29	0.0296845	0.0204132	0.0171848	7.67777e-05	2.78358e-16	0.0283084	0.0206106	0.016587	1.1024e-05	0.000649524	0.94
30	0.026867	0.0186311	0.0153127	7.11683e-05	2.75887e-16	0.0259783	0.0190535	0.0151496	8.38164e-06	0.000611882	0.94
31	0.0224878	0.0157836	0.0128123	4.50004e-05	2.84753e-16	0.0223242	0.016401	0.0130093	6.51745e-06	0.000439348	0.94
32	0.018731	0.0126713	0.0106454	4.57177e-05	2.8127e-16	0.0179732	0.0128777	0.0106962	5.61167e-06	0.000418679	0.98
33	0.020676	0.0140832	0.0121568	5.59474e-05	2.73776e-16	0.0195168	0.0142821	0.011574	5.08713e-06	0.000416702	0.98
34	0.0167663	0.0113591	0.00987508	3.38637e-05	2.74019e-16	0.0164365	0.0116329	0.00997777	3.44449e-06	0.000302345	0.98
35	0.0179361	0.0121885	0.0103341	3.87341e-05	2.74767e-16	0.0172075	0.01278	0.00987628	2.97447e-06	0.000372093	0.96
36	0.0141242	0.00994385	0.00795693	2.13301e-05	2.70726e-16	0.0139139	0.0102249	0.00814819	2.34584e-06	0.000255694	0.94
37	0.0140073	0.00990819	0.0079113	1.54183e-05	2.7952e-16	0.013816	0.0100092	0.00831622	1.92152e-06	0.000211815	0.98
38	0.0120003	0.00802112	0.00704789	1.58432e-05	2.84225e-16	0.011573	0.00830552	0.0069691	1.40082e-06	0.000200805	0.98
39	0.0117024	0.00820289	0.00654711	1.49316e-05	2.80958e-16	0.0109966	0.00813537	0.00633612	1.49177e-06	0.000188431	0.96
40	0.0114379	0.00810726	0.00644582	1.37434e-05	2.88334e-16	0.0110767	0.00831197	0.00627592	1.00667e-06	0.000180722	0.98
