FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRt_cost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRt_cost	rank3_rate
10	0.476342	0.299205	0.264774	0.112245	5.98118e-16	0.20525	0.150454	0.108252	0.00279722	0.00022645	0.84
11	0.473857	0.284323	0.273199	0.128992	5.61082e-16	0.159652	0.114796	0.0878628	0.00172815	0.000217492	0.7
12	0.55534	0.359972	0.296171	0.396434	5.91591e-16	0.157058	0.116182	0.0829213	0.00110114	0.000211367	0.78
13	0.449749	0.28389	0.253873	0.108633	5.65034e-16	0.127427	0.0927497	0.0701941	0.000827226	0.000155559	0.84
14	0.836828	0.49063	0.543805	1.81837	5.88747e-16	0.112626	0.0825295	0.0619692	0.000692897	0.000437362	0.76
15	0.372403	0.223739	0.209598	0.176743	5.83033e-16	0.0933094	0.0672033	0.052231	0.000416839	0.000145782	0.8
16	0.353774	0.222236	0.204932	0.155966	5.78781e-16	0.10266	0.0772227	0.0546632	0.000356815	0.000102176	0.82
17	0.196555	0.118495	0.114018	0.0195764	5.87831e-16	0.08046	0.0570617	0.0461713	0.000233533	4.83457e-05	0.84
18	0.129426	0.0789687	0.0755485	0.00639715	5.88378e-16	0.0661795	0.0477206	0.0381157	0.000167863	3.11763e-05	0.84
19	0.106475	0.0692457	0.0610058	0.00335072	5.9048e-16	0.0637569	0.0467125	0.0362184	0.000119202	2.70663e-05	0.94
20	0.103785	0.0679261	0.0580653	0.00345019	5.78049e-16	0.0545638	0.0386509	0.0323125	7.55345e-05	2.12295e-05	0.94
21	0.102387	0.0634435	0.0596923	0.00393849	5.87228e-16	0.049454	0.0357483	0.0282715	6.67258e-05	2.33185e-05	0.88
22	0.155314	0.0946956	0.0848638	0.0316383	5.8049e-16	0.0462126	0.0338719	0.0259468	4.79407e-05	3.04663e-05	0.94
23	0.290416	0.177049	0.183445	0.101511	5.83584e-16	0.0383522	0.0280404	0.0216577	4.30965e-05	5.98591e-05	0.82
24	0.0681643	0.0451073	0.0385209	0.00127923	5.5818e-16	0.03897	0.0282404	0.0223538	3.23253e-05	1.22846e-05	0.92
25	0.190845	0.114195	0.0921215	0.191136	5.63649e-16	0.0333927	0.0241102	0.0193634	2.41666e-05	4.14622e-05	0.9
26	0.0914274	0.0541244	0.0536585	0.00834926	5.31203e-16	0.0313705	0.0226201	0.018315	2.20332e-05	1.39541e-05	0.94
27	0.0905527	0.0561074	0.051615	0.00852318	5.73796e-16	0.0281026	0.0205637	0.0162223	1.46531e-05	1.84107e-05	0.88
28	0.116638	0.0703819	0.0597264	0.0321164	5.80331e-16	0.024443	0.0177174	0.014304	1.10112e-05	2.51044e-05	0.94
29	0.0406028	0.0258782	0.0236154	0.000465456	6.15435e-16	0.0229991	0.0165151	0.0133744	9.53585e-06	5.00175e-06	0.86
30	0.0432049	0.0256354	0.0264469	0.00125693	5.48769e-16	0.02003	0.0147264	0.0115215	7.8045e-06	8.143e-06	0.94
31	0.380463	0.220677	0.256207	0.436848	5.92287e-16	0.0195648	0.0142988	0.0114425	5.95811e-06	0.00012021	0.94
32	0.0506496	0.0311043	0.0296257	0.00168827	5.85529e-16	0.0215529	0.0161801	0.0120928	4.79272e-06	7.13705e-06	0.98
