FocalLength	QR_Kcost	maxQR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	QR_RRtcost	IAC_Kcost	maxIAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost	IAC_RRtcost
4	0.000424422	0.00254699	0.000263439	0.000256368	3.41748e-08	2.64995e-16	0.000444193	0.00292618	0.000289892	0.000273568	2.3374e-08	5.23614e-05
5	0.000430675	0.00362809	0.000253365	0.000266299	5.96424e-08	2.96304e-16	0.00043833	0.0028859	0.000244463	0.000285236	6.06087e-08	4.36222e-05
6	0.000851193	0.0489641	0.000506269	0.000551592	5.56298e-07	2.72977e-16	0.000809417	0.0395597	0.000510829	0.000476476	1.11011e-06	7.3297e-05
7	0.000661391	0.0145277	0.000373744	0.000393345	5.66837e-07	2.76812e-16	0.000676992	0.014524	0.000377114	0.000405641	6.40861e-07	4.88899e-05
8	0.000792245	0.0125635	0.000467791	0.000471364	3.97939e-07	2.88198e-16	0.000818348	0.0144133	0.000505152	0.000473994	4.14067e-07	5.24422e-05
9	0.000926126	0.0423856	0.00055251	0.000551303	6.87812e-07	2.80508e-16	0.000939919	0.0492669	0.000566356	0.000567991	6.60572e-07	4.63587e-05
10	0.00108711	0.0316447	0.000655761	0.000651292	6.44039e-07	2.87044e-16	0.00164607	0.628124	0.000873971	0.00116632	1.03258e-05	0.000134035
11	0.0204514	14.5802	0.0174109	0.00935763	0.0134928	2.79604e-16	2.85071	3522.66	2.36762	0.0531788	2625.8	0.00335799
12	0.00112865	0.0265943	0.000657596	0.000679125	1.06461e-06	2.79013e-16	0.00112977	0.0306558	0.000661012	0.000691747	1.07653e-06	4.48306e-05
13	0.0345775	72.0209	0.0203906	0.0265616	0.126135	2.80629e-16	6.82276	14754.9	6.74657	0.0743069	2209.1	0.00118102
14	0.00138576	0.095198	0.000834277	0.000831404	2.07612e-06	2.80347e-16	0.00139501	0.0978039	0.000835388	0.000843761	2.75693e-06	4.83819e-05
15	0.00132543	0.0303852	0.000799112	0.000788512	8.91404e-07	2.78439e-16	0.00134184	0.0304096	0.000815348	0.000808448	9.03031e-07	4.58954e-05
16	0.00772507	19.4202	0.00662937	0.0019109	0.0150452	2.77935e-16	0.134142	414.157	0.100464	0.00312587	23.9623	0.000832449
17	0.00160185	0.0575258	0.000924221	0.000982774	1.62655e-06	2.78996e-16	0.00176629	0.575215	0.00101381	0.00111054	2.77504e-05	6.10305e-05
18	0.0313645	85.1242	0.0216558	0.0201195	0.231701	2.83991e-16	0.388907	786.907	0.282507	0.0138345	114.195	0.00123057
19	0.00173765	0.0459035	0.00101149	0.00106775	1.60516e-06	2.8412e-16	0.00243282	1.92139	0.0010971	0.00157601	0.000542106	9.86984e-05
20	0.00839293	26.455	0.00683586	0.00415333	0.00178879	2.82643e-16	0.0453228	177.065	0.0442652	0.00329857	0.0265623	0.000484084
21	0.0020671	0.054432	0.00122477	0.00122503	3.94757e-06	2.80675e-16	0.00226981	1.0161	0.00128289	0.00137132	0.000111732	6.54559e-05
22	0.015585	31.0677	0.0106319	0.0107726	0.00642668	2.80414e-16	0.477248	1858.94	0.473068	0.0129639	1.50727	0.000945038
23	0.0022427	0.0642731	0.00131649	0.00135172	3.51835e-06	2.79299e-16	0.00263704	1.65344	0.0014089	0.00166059	0.000214852	7.42099e-05
24	0.0120834	45.5964	0.00653586	0.00967776	0.000199243	2.77991e-16	0.136378	627.002	0.10241	0.0078348	36.1174	0.000575357
25	0.0110338	42.1029	0.00673456	0.00823924	0.000601916	2.80877e-16	0.775768	3757.31	0.766424	0.0109659	60.8246	0.000558417
26	0.00254928	0.165025	0.00148449	0.00154043	5.63481e-06	2.79763e-16	0.00256735	0.167336	0.0015114	0.00156434	4.58575e-06	5.23097e-05
27	0.00250426	0.160626	0.00151884	0.00149661	3.43803e-06	2.79078e-16	0.00309666	1.11142	0.00172391	0.00186493	0.000250886	8.04387e-05
28	0.00269275	0.164997	0.00156114	0.00162728	7.88377e-06	2.78454e-16	0.00276485	0.197676	0.00162501	0.00168888	6.31178e-06	5.07046e-05
29	0.0474127	172.379	0.0244394	0.0227229	3.7794	2.78236e-16	13.5967	65508.1	13.2038	0.107124	44582	0.00105918
30	0.0167808	67.6798	0.0106309	0.0104757	0.179706	2.79073e-16	0.186665	897.821	0.18496	0.0133162	0.110476	0.000331217
31	0.0106439	37.4951	0.00929852	0.00281779	0.00574895	2.7693e-16	0.111621	528.431	0.110171	0.00394329	0.0137103	0.000319966
32	0.0127998	47.447	0.00746858	0.00776159	0.136866	2.79124e-16	0.132933	634.279	0.131401	0.00623942	0.0503136	0.000333715
33	0.0129146	44.85	0.00979824	0.00709075	0.0223083	2.79993e-16	0.0817456	364.622	0.0789471	0.00620706	0.981432	0.000487677
34	0.0179357	68.3816	0.00994291	0.0142284	0.00202801	2.80793e-16	0.202461	927.825	0.158657	0.00428933	70.3875	0.000574635
35	0.00321626	0.254734	0.00190517	0.00193953	6.70512e-06	2.85881e-16	0.00384607	2.26732	0.00212335	0.00244915	0.000198573	7.15912e-05
