FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost
10	0.470114	0.306451	0.265503	0.0360798	0.605176	0.347675	0.424593	0.027725
11	0.489192	0.319328	0.279835	0.0392961	0.612886	0.369253	0.422975	0.0230542
12	0.472265	0.321014	0.25283	0.0360935	0.602136	0.365253	0.418133	0.0180925
13	0.422801	0.264795	0.243324	0.0310464	0.513505	0.301926	0.355397	0.0150852
14	0.422449	0.275065	0.241583	0.0285846	0.52517	0.320934	0.361538	0.0134319
15	0.402552	0.270985	0.227468	0.0218483	0.508227	0.306275	0.354494	0.0100986
16	0.379965	0.242526	0.224881	0.017607	0.472377	0.280435	0.331782	0.00917351
17	0.352799	0.230225	0.199242	0.0205681	0.441055	0.264281	0.313655	0.00729256
18	0.339825	0.212985	0.194036	0.0204251	0.414573	0.245378	0.292423	0.00687778
19	0.341396	0.218842	0.199956	0.0172157	0.418236	0.247365	0.300497	0.00591591
20	0.341108	0.230465	0.186576	0.0199998	0.390513	0.241334	0.270007	0.00523604
21	0.333814	0.223635	0.183279	0.018424	0.389441	0.243924	0.265824	0.00461771
22	0.333303	0.213679	0.196453	0.0157774	0.380908	0.228464	0.268841	0.00463877
23	0.314719	0.200248	0.186053	0.0165083	0.363473	0.221152	0.257758	0.00369484
24	0.307351	0.198985	0.183001	0.0135775	0.355011	0.218701	0.250771	0.00344533
25	0.307466	0.199249	0.183154	0.0141781	0.36428	0.222498	0.258469	0.00300788
26	0.293974	0.192587	0.16739	0.0139147	0.342202	0.214828	0.232981	0.00298635
27	0.299767	0.189175	0.180182	0.012361	0.350457	0.216449	0.245836	0.00256089
28	0.276437	0.179717	0.16036	0.0141172	0.330064	0.202941	0.231889	0.00241045
29	0.281981	0.17722	0.170432	0.0122564	0.314128	0.190972	0.223094	0.00220271
30	0.28674	0.186694	0.168625	0.012556	0.315232	0.198133	0.217641	0.00194074
31	0.254849	0.164713	0.158492	0.00583549	0.289512	0.178796	0.203317	0.00183002
32	0.249863	0.160381	0.148488	0.00891938	0.288857	0.176952	0.204953	0.00164916
33	0.26103	0.164163	0.161466	0.00856734	0.291749	0.178868	0.206289	0.0016159
34	0.254494	0.163413	0.151948	0.00925663	0.289319	0.178115	0.203677	0.00146746
35	0.246775	0.154314	0.150186	0.00839089	0.271475	0.166237	0.189614	0.00129486
36	0.23669	0.155467	0.14175	0.00691899	0.275273	0.169199	0.197915	0.00119245
37	0.249648	0.166446	0.145476	0.00778432	0.278432	0.175866	0.194703	0.00119729
38	0.2375	0.150852	0.142415	0.00867547	0.264129	0.164445	0.184989	0.00100891
39	0.235621	0.151603	0.143235	0.00726905	0.260475	0.164262	0.182654	0.000929765
40	0.212616	0.136614	0.129054	0.00607475	0.237791	0.146268	0.168683	0.000896527
41	0.20557	0.132417	0.12509	0.00493539	0.226852	0.139238	0.160963	0.000827612
42	0.209712	0.13135	0.12651	0.00831049	0.234899	0.142521	0.168951	0.000738117
43	0.216074	0.13797	0.134322	0.00614925	0.232761	0.146779	0.161344	0.000791367
44	0.2267	0.141785	0.139854	0.00684095	0.249098	0.154222	0.176515	0.00065626
45	0.194796	0.124579	0.117593	0.0054741	0.213439	0.13448	0.14784	0.000655848
46	0.186232	0.121741	0.108155	0.00593171	0.217905	0.136016	0.153663	0.000638359
47	0.212449	0.132836	0.127952	0.00754979	0.225714	0.145179	0.152343	0.000549892
48	0.179156	0.112987	0.109305	0.00537545	0.194716	0.122919	0.135312	0.000498607
49	0.187503	0.12181	0.11086	0.00527227	0.208957	0.128989	0.148561	0.00051492
50	0.188527	0.114974	0.120254	0.00449452	0.204896	0.125558	0.145932	0.000466519
51	0.179938	0.115515	0.109963	0.00456184	0.198728	0.124545	0.138267	0.000465789
52	0.179939	0.115008	0.105266	0.00604393	0.198619	0.125265	0.137471	0.00046748
53	0.171694	0.108209	0.105747	0.004656	0.184222	0.116687	0.129135	0.000417365
54	0.172052	0.109473	0.103703	0.00453743	0.180923	0.115607	0.124677	0.0003852
