FocalLength	QR_Kcost	QR_Focalcost	QR_PPcost	QR_Skewcost	IAC_Kcost	IAC_Focalcost	IAC_PPcost	IAC_Skewcost
4	0.00146606	0.0007738	0.000690014	3.53998e-06	0.000587032	0.000240249	0.000399994	8.01701e-07
5	0.000972	0.000623218	0.000501772	8.94509e-07	0.000429641	0.000231726	0.00026461	7.81909e-08
6	0.00170488	0.000948127	0.000950851	8.39698e-06	0.000745742	0.000426074	0.00048699	4.10351e-07
7	0.0017996	0.00105889	0.0010302	4.92074e-06	0.000997815	0.000627206	0.000592321	5.33125e-07
8	0.00276973	0.0016363	0.00154978	4.77215e-05	0.000983581	0.000604626	0.000598534	9.21915e-07
9	0.00380096	0.00221953	0.00220694	7.60967e-05	0.00102473	0.000616455	0.00063776	7.05284e-07
10	0.00476886	0.00270865	0.00283334	0.000174941	0.00130933	0.000765795	0.000827573	1.3091e-06
11	0.00390848	0.00232457	0.00228026	8.33048e-05	0.0014251	0.000876768	0.000906652	1.08154e-06
12	0.00463541	0.00277045	0.00279589	4.52476e-05	0.00158232	0.000970336	0.000975414	1.75867e-06
13	0.00485687	0.00305012	0.0026041	0.000163211	0.00161004	0.000960033	0.0010178	1.78683e-06
14	0.00517592	0.00291187	0.00304245	0.000126187	0.00186964	0.00112704	0.00119269	1.89866e-06
15	0.00631848	0.00365556	0.00398411	0.000108259	0.00188253	0.00111348	0.00120626	2.43543e-06
16	0.0067217	0.00377876	0.00415588	0.000182456	0.00204814	0.00125089	0.00126958	3.01433e-06
17	0.00674427	0.00377562	0.00421347	0.000155468	0.00220392	0.00130934	0.00139058	3.57752e-06
18	0.00670628	0.00396306	0.00404629	0.000152253	0.00235929	0.00146287	0.00147012	2.57572e-06
19	0.0069417	0.0039559	0.00446024	9.68681e-05	0.00245586	0.0014338	0.00157648	4.38804e-06
20	0.00772447	0.00452778	0.00448755	0.000350331	0.00250088	0.00155531	0.00151792	2.96187e-06
21	0.00735176	0.00409856	0.00445591	0.000324439	0.00258035	0.00154278	0.00160923	4.39668e-06
22	0.00850711	0.00514104	0.0049725	0.000262764	0.00274858	0.00165383	0.0017221	4.28319e-06
23	0.00915282	0.00519835	0.00542461	0.000518829	0.00297645	0.00185198	0.00180868	4.21479e-06
24	0.00950424	0.00556091	0.00562834	0.000370129	0.00295768	0.00176357	0.00183919	8.11262e-06
25	0.00894036	0.00507106	0.00546549	0.000267386	0.00322592	0.00190239	0.002033	1.06459e-05
26	0.010468	0.00612548	0.00617392	0.000530133	0.00331716	0.00198778	0.00206246	8.67225e-06
27	0.0096812	0.00576702	0.00562121	0.000404869	0.00332793	0.00201618	0.00207758	5.36562e-06
28	0.0106751	0.00587025	0.00668336	0.000568559	0.00342715	0.00205717	0.00213065	8.31426e-06
29	0.0106835	0.00638722	0.0061631	0.000503142	0.00371674	0.00219498	0.00236353	1.21725e-05
30	0.0116117	0.00660804	0.00706487	0.000596508	0.0038611	0.00233996	0.00242099	8.60827e-06
31	0.0112248	0.00653375	0.00661871	0.000629017	0.00381169	0.0023073	0.00238104	7.57252e-06
32	0.0120068	0.00710001	0.00743567	0.000463082	0.00410776	0.0024134	0.00265667	1.17989e-05
33	0.0127194	0.00758841	0.00725683	0.0010054	0.00407022	0.00242988	0.0025523	1.07714e-05
34	0.0137175	0.00814049	0.00847728	0.000577162	0.00438879	0.00276014	0.00266595	1.04513e-05
35	0.0123419	0.00750545	0.00694619	0.000939971	0.00415387	0.00250169	0.00261831	9.51137e-06
36	0.0141984	0.00812644	0.00835137	0.0012755	0.00458361	0.00277145	0.00287459	1.04676e-05
37	0.013469	0.00778717	0.00814881	0.000663591	0.00448615	0.00268804	0.00283612	1.09087e-05
38	0.0138773	0.00846693	0.00786922	0.000788775	0.00478911	0.0028662	0.00304539	2.22854e-05
39	0.0139195	0.00822102	0.00804374	0.00102408	0.00488039	0.00298912	0.00307224	1.35273e-05
40	0.015544	0.0090156	0.00939819	0.00106306	0.00487527	0.00297538	0.00308191	1.35121e-05
41	0.0156347	0.00905808	0.00944097	0.000825146	0.00576057	0.00349362	0.00359088	3.31244e-05
42	0.0155146	0.0094911	0.00895972	0.000862526	0.00496448	0.0030233	0.00312152	1.19632e-05
43	0.0151808	0.00916439	0.00880683	0.000984244	0.00509485	0.00307877	0.00312437	1.98458e-05
44	0.0186595	0.0108486	0.0110351	0.00179165	0.00537601	0.00332031	0.00328294	1.64514e-05
45	0.0158265	0.0091643	0.00917857	0.00112045	0.0055328	0.00339671	0.00346285	1.74269e-05
46	0.0180747	0.0106298	0.0104566	0.00162813	0.0055138	0.00338805	0.00342531	1.73619e-05
47	0.0178164	0.010384	0.0107841	0.00159591	0.00554194	0.00336645	0.00351519	1.6725e-05
48	0.0146897	0.00878578	0.00870771	0.000557745	0.00575379	0.0034447	0.00371144	2.67071e-05
49	0.0202698	0.0112647	0.012357	0.00318316	0.00595412	0.00373282	0.00369579	1.12355e-05
50	0.0191429	0.0111253	0.0115219	0.00245896	0.00568861	0.00348692	0.00362185	1.48139e-05
51	0.0171557	0.0101274	0.0102917	0.000938834	0.00597297	0.00371711	0.00371977	1.57418e-05
52	0.0180945	0.0107104	0.0107606	0.00119485	0.00590795	0.0036267	0.00373605	1.51769e-05
53	0.0161417	0.00933829	0.0100109	0.000567462	0.00673225	0.00428901	0.00418146	1.78663e-05
54	0.0219919	0.0132116	0.0129556	0.00193937	0.00620111	0.00387474	0.00387008	1.66705e-05
55	0.0168694	0.010498	0.00935411	0.00107385	0.00655501	0.00400071	0.0042253	1.71067e-05
56	0.0237281	0.0135522	0.0141747	0.00372316	0.00686026	0.00437976	0.00424592	1.89672e-05
57	0.0208746	0.0124471	0.0127565	0.00143734	0.00634037	0.00403183	0.0040076	1.35492e-05
58	0.0222482	0.0132629	0.0129019	0.00275149	0.00652404	0.00400561	0.00416676	2.04251e-05
59	0.0221995	0.0129604	0.0129201	0.00349104	0.00728987	0.00477069	0.00446913	1.70222e-05
60	0.0200292	0.0122591	0.0119339	0.000901461	0.00720586	0.0043528	0.00467511	3.15543e-05
61	0.0206735	0.0117702	0.0119246	0.00434566	0.00657824	0.00411627	0.00416726	1.39374e-05
62	0.0224599	0.0129691	0.0131486	0.0034001	0.00692454	0.00437553	0.0044288	2.67824e-05
63	0.0276583	0.0172443	0.0154595	0.00447382	0.00723248	0.00465879	0.00448121	1.53427e-05
64	0.019185	0.0115505	0.0111247	0.00157515	0.00689373	0.00429888	0.00445049	1.50141e-05
65	0.0202146	0.0114905	0.0121317	0.00185813	0.00739121	0.00463516	0.00472394	1.5637e-05
66	0.0225901	0.0127311	0.0142137	0.00204868	0.00779188	0.00480762	0.00488544	3.47572e-05
67	0.0263437	0.0164801	0.0154091	0.00168523	0.0071763	0.00444137	0.00457944	3.61153e-05
68	0.0315136	0.0171009	0.0190764	0.00876647	0.00803379	0.00520911	0.00495561	1.56791e-05
69	0.0293486	0.0165856	0.0179855	0.00465248	0.00839689	0.00531543	0.00536251	3.4453e-05
70	0.0236206	0.0146305	0.0138064	0.000733551	0.00834376	0.00524445	0.00540591	2.56589e-05
71	0.027246	0.0171609	0.0158511	0.0014027	0.00832517	0.00528851	0.00528535	2.16998e-05
72	0.0298971	0.0181223	0.0172688	0.00308483	0.0071641	0.0046657	0.00454353	7.34483e-06
73	0.0262646	0.0152449	0.0163791	0.00245668	0.00844491	0.00540016	0.00550825	1.87566e-05
74	0.021224	0.0131266	0.0123407	0.00104117	0.00840047	0.00549079	0.00534673	1.56795e-05
75	0.0220179	0.0135055	0.011664	0.00216578	0.00821178	0.00537474	0.00518142	1.46966e-05
76	0.0249249	0.0155197	0.0144029	0.00301035	0.00817138	0.0049676	0.00549074	4.11635e-05
77	0.0254366	0.0165029	0.0148741	0.000773086	0.00794929	0.00507541	0.0051218	1.52213e-05
78	0.0193123	0.0111339	0.0121342	0.000986933	0.00763399	0.0047727	0.00503582	1.2026e-05
79	0.0284735	0.0160501	0.018462	0.00353783	0.0094335	0.00643814	0.0058089	1.92056e-05
80	0.0232162	0.0134266	0.0139038	0.00244261	0.00773102	0.00515038	0.0048184	1.75733e-05
81	0.0267132	0.0151094	0.0154132	0.0094637	0.0083725	0.00540853	0.00547946	9.96723e-06
82	0.0244619	0.0145266	0.0139244	0.00420818	0.00798813	0.00525064	0.00505544	1.05879e-05
83	0.0257977	0.0146013	0.0135511	0.00913532	0.00842384	0.00531357	0.00553638	2.24117e-05
84	0.0292899	0.0171636	0.0186906	0.00134544	0.00927389	0.00588118	0.00620284	9.22008e-06
85	0.0346819	0.0185401	0.022258	0.00403682	0.00924236	0.00604681	0.00591118	2.60673e-05
86	0.0233606	0.0114668	0.0145869	0.00785974	0.00785423	0.0051548	0.00502228	7.09948e-06
87	0.0377821	0.0218165	0.022424	0.0106817	0.00921379	0.0059739	0.00592482	1.61583e-05
88	0.0314721	0.0205819	0.0172317	0.00599086	0.00911124	0.00605829	0.00585028	9.84345e-06
89	0.0217926	0.013648	0.012276	0.00250517	0.0089589	0.00604677	0.00556765	9.8145e-06
90	0.0296208	0.0175252	0.0187422	0.00176068	0.00930738	0.00650638	0.00553264	1.03773e-05
91	0.0226873	0.0128031	0.0144655	0.000848842	0.00892772	0.00616509	0.00543789	6.19432e-06
92	0.0354837	0.0196259	0.0210645	0.0160451	0.0084307	0.00557374	0.00540865	5.30448e-06
93	0.0290889	0.0176398	0.0173785	0.00405203	0.0107725	0.00722114	0.00691199	8.77255e-06
